case_id,student,v_miss_count,v_halluc_count,e_diff_count,v_misground_count,l_ged_score
E1,gpt5,23,2,23,5,131.0
E1,llama3_2b,56,0,3,2,151.0
E2,gpt5,8,3,22,5,88.5
E2,llama3_2b,37,1,6,2,109.5
M1,gpt5,8,8,24,0,116.0
M1,llama3_2b,50,0,8,5,146.5
M2,gpt5,23,0,16,6,96.5
M2,llama3_2b,49,0,6,4,132.0
H1,gpt5,26,11,23,9,171.0
H1,llama3_2b,51,0,11,6,177.0
H2,gpt5,16,7,21,9,125.5
H2,llama3_2b,66,0,1,1,162.5
