case_id,student,v_miss_count,v_halluc_count,e_diff_count,v_misground_count,l_ged_score
E1,gpt5,23,2,24,5,135.0
E1,llama3_2b,59,0,0,2,149.0
E2,gpt5,8,3,22,5,88.5
E2,llama3_2b,46,0,1,3,110.5
M1,gpt5,7,7,27,0,120.0
M1,llama3_2b,54,0,1,5,141.0
M2,gpt5,23,0,19,6,108.5
M2,llama3_2b,58,0,1,2,138.5
H1,gpt5,26,11,22,9,167.0
H1,llama3_2b,65,0,1,3,184.5
H2,gpt5,16,7,19,9,117.5
H2,llama3_2b,63,0,3,2,162.5
