case_id,student,v_miss_count,v_halluc_count,e_diff_count,v_misground_count,l_ged_score
E1,gpt5,43,22,11,1,191.0
E1,llama3_2b,63,4,0,1,167.0
E2,gpt5,25,20,10,1,140.5
E2,llama3_2b,49,3,0,1,128.0
M1,gpt5,24,24,15,0,176.5
M1,llama3_2b,58,4,1,3,164.0
M2,gpt5,42,19,10,3,174.5
M2,llama3_2b,60,2,1,2,145.5
H1,gpt5,52,37,10,3,264.0
H1,llama3_2b,73,8,0,0,224.5
H2,gpt5,39,30,9,4,204.0
H2,llama3_2b,64,1,2,2,163.5
